guid,sentence1,sentence2,score
1,有人在倒立行走,我感到非常惊讶,1
2,今天的天气真好,我想去跑步,1
3,你喜欢吃什么水果,我觉得篮球很好玩,0
4,我喜欢看电影,今晚有个新片上映,1
5,他每天都去健身房,我喜欢吃巧克力,0
6,我在学习Python编程,编程真的很有趣,1
7,你最近在看什么书,我今天去超市了,0
8,我们下个月要去旅行,你准备好了吗,1
9,我很喜欢音乐,最近听到了一首好歌,1
10,你喜欢什么运动,我今天吃了意大利面,0
11,我刚刚买了一辆新车,我很兴奋,1
12,他喜欢游泳,我总是去海边,1
13,我在做饭,今天晚上要吃披萨,1
14,你有空一起去爬山吗,我这周末有点忙,0
15,我正在学习一门新语言,学习总是有趣的,1
16,她喜欢画画,我们一起去看展览吧,1
17,你想看哪部电影,我喜欢听古典音乐,0
18,我在参加一个音乐会,你来吗,1
19,我计划去健身房,最近变得越来越健康,1
20,今天天气真好,我喜欢喝咖啡,0
21,我最近迷上了摄影,你喜欢旅行吗,1
22,他在看书,我在听音乐,0
23,我计划参加马拉松,你有什么健身计划吗,1
24,她今天有点不高兴,我觉得她需要休息,1
25,我爱吃寿司,你喜欢吃快餐吗,0
26,我在准备一个项目,你能帮我吗,1
27,你喜欢冬天的雪吗,我不喜欢寒冷的天气,0
28,我最近在学习瑜伽,感觉身体变得柔软了,1
29,我们去野餐吧,我准备了很多食物,1
30,他在打游戏,我去跑步,0
31,我在看一个新的电视剧,你有推荐吗,1
32,她的生日快到了,我们准备了一个惊喜,1
33,你喜欢喝茶吗,我喜欢运动,0
34,我在做手工艺,很放松,1
35,我们下个月要去参加婚礼,你准备好了吗,1
36,我刚买了一些新书,你也喜欢阅读吗,1
37,我喜欢烹饪,尤其是尝试新菜谱,1
38,他在参加音乐节,我更喜欢安静的地方,0
39,我爱摄影,最近拍了很多照片,1
40,你觉得哪个季节最好,我只喜欢夏天,0
41,我在学习新的编程语言,感觉很有挑战,1
42,你最近有看什么电影吗,我只是在看剧,0
43,我爱运动,希望能保持健康,1
44,我计划去参加绘画课程,你有没有兴趣,1
45,她总是很忙,我想她需要休息,1
46,你喜欢哪种音乐,我喜欢运动和旅行,0
47,我喜欢下棋,每个周末都会玩,1
48,我们去游乐园玩吧,我觉得很有趣,1
49,我在看新的科技新闻,你对科技感兴趣吗,1
50,我喜欢独处,享受自己的时间,0
51,我喜欢收集邮票,这是我的爱好,1
52,他在做实验,我今天没去学校,0
53,我想学习烘焙,你有兴趣吗,1
54,我最近在读一本小说,故事很吸引人,1
55,你去过哪些地方旅行,我喜欢探索新城市,1
56,我想参加跑步比赛,希望能赢,1
57,他喜欢篮球,我更喜欢足球,0
58,我在学习新的舞蹈,觉得很有趣,1
59,你喜欢什么类型的书,我比较喜欢历史书,0
60,我在做一个艺术项目,你能帮我吗,1
61,我喜欢动物,尤其是狗和猫,1
62,他在外面跑步,我在家休息,0
63,我想学习新的乐器,你有什么建议,1
64,我最近在看纪录片,学到了很多知识,1
65,你觉得怎样的天气最舒服,我只喜欢晴天,0
66,我在学习新的技能,希望能提升自己,1
67,她在做瑜伽,我也想试试,1
68,你喜欢逛博物馆吗,我更喜欢购物,0
69,我最近在写日记,记录生活点滴,1
70,我爱旅行,拍摄风景照是我的爱好,1
71,他在参加辩论赛,我只想看电影,0
72,我在学习烹饪新菜,希望能做好吃的,1
73,你有听过这个歌手吗,我只听流行音乐,0
74,我爱跑步,每天都在锻炼,1
75,我喜欢参加聚会,认识新朋友很有趣,1
76,他在练习吉他,我想学唱歌,0
77,我最近在看一些美食视频,想尝试新食谱,1
78,你觉得哪个地方最美,我喜欢城市的繁华,0
79,我想学习陶艺,制作自己的作品,1
80,我喜欢写作,每天都写点东西,1
81,你最近有去健身房吗,我更喜欢户外运动,0
82,我在学习新的编程技巧,觉得很有挑战性,1
83,她喜欢唱歌,我们可以一起练习,1
84,你有看过那部电影吗,我觉得挺无聊的,0
85,我爱参加志愿者活动,帮助别人很快乐,1
86,我最近在做一些手工艺品,感觉很放松,1
87,你喜欢喝什么饮料,我更喜欢咖啡,0
88,我在尝试新的运动,希望能找到喜欢的,1
89,我喜欢参加音乐会,听现场表演很棒,1
90,你有学过任何语言吗,我只会中文,0
91,我在研究历史,对古代文化感兴趣,1
92,我最近迷上了摄影,你喜欢旅行吗,1
93,他在看书,我在听音乐,0
94,我计划参加马拉松,你有什么健身计划吗,1
95,她今天有点不高兴,我觉得她需要休息,1
96,我爱吃寿司,你喜欢吃快餐吗,0
97,我在准备一个项目,你能帮我吗,1
98,你喜欢冬天的雪吗,我不喜欢寒冷的天气,0
99,我最近在学习瑜伽,感觉身体变得柔软了,1
100,我们去野餐吧,我准备了很多食物,1
101,他在打游戏,我去跑步,0
102,我在看一个新的电视剧,你有推荐吗,1
103,她的生日快到了,我们准备了一个惊喜,1
104,你喜欢喝茶吗,我喜欢运动,0
105,我在做手工艺,很放松,1
106,我们下个月要去参加婚礼,你准备好了吗,1
107,我刚买了一些新书,你也喜欢阅读吗,1
108,我喜欢烹饪,尤其是尝试新菜谱,1
109,他在参加音乐节,我更喜欢安静的地方,0
110,我爱摄影,最近拍了很多照片,1
111,你觉得哪个季节最好,我只喜欢夏天,0
112,我在学习新的编程语言,感觉很有挑战,1
113,你最近有看什么电影吗,我只是在看剧,0
114,我爱运动,希望能保持健康,1
115,我计划去参加绘画课程,你有没有兴趣,1
116,她总是很忙,我想她需要休息,1
117,你喜欢哪种音乐,我喜欢运动和旅行,0
118,我喜欢下棋,每个周末都会玩,1
119,我们去游乐园玩吧,我觉得很有趣,1
120,我在看新的科技新闻,你对科技感兴趣吗,1
121,我喜欢独处,享受自己的时间,0
122,我喜欢收集邮票,这是我的爱好,1
123,他在做实验,我今天没去学校,0
124,我想学习烘焙,你有兴趣吗,1
125,我最近在读一本小说,故事很吸引人,1
126,你去过哪些地方旅行,我喜欢探索新城市,1
127,我想参加跑步比赛,希望能赢,1
128,他喜欢篮球,我更喜欢足球,0
129,我在学习新的舞蹈,觉得很有趣,1
130,你喜欢什么类型的书,我比较喜欢历史书,0
131,我在做一个艺术项目,你能帮我吗,1
132,我喜欢动物,尤其是狗和猫,1
133,他在外面跑步,我在家休息,0
134,我想学习新的乐器,你有什么建议,1
135,我最近在看纪录片,学到了很多知识,1
136,你觉得怎样的天气最舒服,我只喜欢晴天,0
137,我在学习新的技能,希望能提升自己,1
138,她在做瑜伽,我也想试试,1
139,你喜欢逛博物馆吗,我更喜欢购物,0
140,我最近在写日记,记录生活点滴,1
141,我爱旅行,拍摄风景照是我的爱好,1
142,他在参加辩论赛,我只想看电影,0
143,我在学习烹饪新菜,希望能做好吃的,1
144,你有听过这个歌手吗,我只听流行音乐,0
145,我爱跑步,每天都在锻炼,1
146,我喜欢参加聚会,认识新朋友很有趣,1
147,他在练习吉他,我想学唱歌,0
148,我最近在看一些美食视频,想尝试新食谱,1
149,你觉得哪个地方最美,我喜欢城市的繁华,0
150,我想学习陶艺,制作自己的作品,1
151,我喜欢写作,每天都写点东西,1
152,你最近有去健身房吗,我更喜欢户外运动,0
153,我在学习新的编程技巧,觉得很有挑战性,1
154,她喜欢唱歌,我们可以一起练习,1
155,你有看过那部电影吗,我觉得挺无聊的,0
156,我爱参加志愿者活动,帮助别人很快乐,1
157,我最近在做一些手工艺品,感觉很放松,1
158,你喜欢喝什么饮料,我更喜欢咖啡,0
159,我在尝试新的运动,希望能找到喜欢的,1
160,我喜欢参加音乐会,听现场表演很棒,1
161,你有学过任何语言吗,我只会中文,0
162,我在研究历史,对古代文化感兴趣,1
163,我最近在看一本很有趣的书,故事情节很吸引人,1
164,你喜欢喝咖啡还是茶,我更喜欢果汁,0
165,我爱摄影,每个周末都会出去拍照,1
166,他在练习口才,我觉得这很重要,1
167,我想参加一个编程比赛,希望能获奖,1
168,你喜欢什么类型的电影,我比较喜欢喜剧,0
169,我在学习如何做饭,想做给家人吃,1
170,她每天都在健身,我觉得很励志,1
171,我喜欢探索新地方,每次旅行都很兴奋,1
172,你有去过哪些国家,我只去过几个地方,0
173,我最近在学习新的舞蹈,感觉很开心,1
174,我们去参加派对吧,我觉得会很有趣,1
175,你喜欢动物吗,我更喜欢猫,0
176,我在写作业,希望能提前完成,1
177,他在练习游泳,准备参加比赛,1
178,我爱吃意大利面,每次都想尝试不同口味,1
179,你觉得旅行最重要的是什么,我觉得是放松心情,0
180,我在学习画画,希望能提升技巧,1
181,她在弹钢琴,我想和她一起演奏,1
182,你有参加过马拉松吗,我觉得太累了,0
183,我最近在做手工,感觉很放松,1
184,我喜欢参加读书会,讨论书籍很有趣,1
185,你喜欢什么样的运动,我偏爱游泳,0
186,我在准备一次演讲,希望能表现好,1
187,他总是很幽默,我喜欢和他在一起,1
188,我在尝试新的饮食,希望能变得更健康,1
189,你喜欢哪些季节,我最喜欢春天,0
190,我最近在学习新的语言,希望能流利交流,1
191,我们下周去看电影吧,我觉得很不错,1
192,你喜欢什么类型的音乐,我更喜欢摇滚乐,0
193,我在学习新的科技知识,感觉很有趣,1
194,她在参加演讲比赛,我很佩服她的勇气,1
195,你有喜欢的运动员吗,我不太关注运动,0
196,我最近在做健身计划,希望能看到效果,1
197,我爱喝咖啡,每天都要喝一杯,1
198,你觉得哪个城市最美,我觉得我的家乡最好,0
199,我在学习新的绘画技巧,想提高自己的水平,1
200,她总是很忙,我想邀请她一起出去玩,1
201,我喜欢冬天的雪景,尤其是滑雪,1
202,你最近有看什么电视剧吗,我只看电影,0
203,我在尝试新的食谱,希望能给家人做一顿好饭,1
204,他在做志愿者,我觉得很有意义,1
205,我爱去博物馆,喜欢历史和文化,1
206,你喜欢参加什么活动,我更喜欢安静的环境,0
207,我最近在学习插花,觉得很有趣,1
208,她在参加舞蹈比赛,我觉得她很有才华,1
209,你觉得旅行的意义是什么,我觉得是开阔眼界,0
210,我在看一些科技类书籍,希望能学到新知识,1
211,我想去参加一个摄影比赛,展现自己的作品,1
212,你喜欢喝哪些饮料,我喜欢奶茶,0
213,我在学习新的运动,希望能找到合适的,1
214,他在准备期末考试,我觉得很重要,1
215,我最近迷上了日剧,觉得剧情很吸引人,1
216,你有看过哪个纪录片,我觉得很有启发,0
217,我在写小说,希望能完成我的故事,1
218,我喜欢参加各类活动,结识新朋友很有趣,1
219,你觉得哪个地方最值得去,我觉得每个地方都有独特之处,0
220,我在学习新的技能,希望能提升自己,1
221,她在做瑜伽,我觉得很放松,1
222,你最近有什么计划吗,我只想待在家,0
223,我想学习新乐器,尝试更多音乐风格,1
224,我最近在看一些美食节目,想学做菜,1
225,你觉得工作最重要的是什么,我觉得是团队合作,0
226,我在参加一个写作比赛,希望能获奖,1
227,我喜欢骑自行车,每天都骑,1
228,你有喜欢的运动吗,我只喜欢看比赛,0
229,我最近在学习如何画漫画,很有趣,1
230,我们去参加音乐会吧,我觉得很不错,1
231,你喜欢户外活动吗,我更喜欢待在室内,0
232,我在学习新的编程语言,希望能用上,1
233,他在参加棋类比赛,我觉得很有趣,1
234,我想尝试新的运动项目,希望能找到兴趣,1
235,你觉得哪个季节最美,我觉得秋天最好,0
236,我最近在学英语,希望能流利交流,1
237,我喜欢参加科技展览,了解新技术,1
238,你最近在忙什么,我只是在放松,0
239,我在尝试新的健康饮食,希望能改善身体,1
